freq,intensity
2459.2773,0.27417
2459.5186,0.27487
2459.7595,0.27568
2460.0005,0.27642
2460.2417,0.27699
2460.4827,0.27737
2460.7239,0.27768
2460.9648,0.27805
2461.2058,0.27864
2461.447,0.27953
2461.688,0.28064
2461.929,0.28174
2462.1702,0.28253
2462.4111,0.2829
2462.6523,0.283
2462.8933,0.28322
2463.1343,0.28383
2463.3755,0.28479
2463.6165,0.28579
2463.8574,0.28657
2464.0986,0.28709
2464.3396,0.28756
2464.5808,0.28816
2464.8218,0.28887
2465.0627,0.28953
2465.304,0.29005
2465.5449,0.29049
2465.7859,0.29101
2466.0271,0.29169
2466.2681,0.29249
2466.5093,0.29333
2466.7502,0.29417
2466.9912,0.29506
2467.2324,0.296
2467.4734,0.29692
2467.7144,0.29776
2467.9556,0.29858
2468.1965,0.29948
2468.4377,0.30052
2468.6787,0.30163
2468.9197,0.30268
2469.1609,0.30363
2469.4019,0.30456
2469.6428,0.30559
2469.884,0.30674
2470.125,0.3079
2470.3662,0.30899
2470.6072,0.31002
2470.8481,0.31114
2471.0894,0.31244
2471.3303,0.31386
2471.5713,0.3153
2471.8125,0.31666
2472.0535,0.31796
2472.2947,0.31929
2472.5356,0.32071
2472.7766,0.32224
2473.0178,0.32384
2473.2588,0.32547
2473.4998,0.32711
2473.741,0.32876
2473.9819,0.33043
2474.2231,0.33211
2474.4641,0.33373
2474.7051,0.33524
2474.9463,0.3366
2475.1873,0.33791
2475.4282,0.33928
2475.6694,0.34079
2475.9104,0.34241
2476.1516,0.344
2476.3926,0.34545
2476.6335,0.3468
2476.8748,0.34817
2477.1157,0.34963
2477.3567,0.35113
2477.5979,0.35255
2477.8389,0.35385
2478.0801,0.35514
2478.321,0.35649
2478.562,0.3579
2478.8032,0.35925
2479.0442,0.36045
2479.2852,0.36157
2479.5264,0.36275
2479.7673,0.36411
2480.0085,0.3656
2480.2495,0.3671
2480.4905,0.36851
2480.7317,0.36983
2480.9727,0.37105
2481.2139,0.37216
2481.4548,0.37313
2481.6958,0.37401
2481.937,0.37492
2482.178,0.37595
2482.4189,0.37703
2482.6602,0.37805
2482.9011,0.37897
2483.1423,0.37995
2483.3833,0.38117
2483.6243,0.38269
2483.8655,0.38427
2484.1064,0.38556
2484.3474,0.38645
2484.5886,0.38713
2484.8296,0.38796
2485.0708,0.38913
2485.3118,0.39055
2485.5527,0.39193
2485.7939,0.39304
2486.0349,0.3939
2486.2759,0.3947
2486.5171,0.39562
2486.7581,0.39672
2486.9993,0.39789
2487.2402,0.39901
2487.4812,0.40002
2487.7224,0.40092
2487.9634,0.40184
2488.2043,0.40289
2488.4456,0.40413
2488.6865,0.40547
2488.9277,0.40674
2489.1687,0.40779
2489.4097,0.40858
2489.6509,0.40924
2489.8918,0.40996
2490.1328,0.41084
2490.374,0.41182
2490.615,0.41276
2490.8562,0.41356
2491.0972,0.41429
2491.3381,0.41509
2491.5793,0.41602
2491.8203,0.41703
2492.0613,0.41791
2492.3025,0.41851
2492.5435,0.41882
2492.7847,0.41902
2493.0256,0.41934
2493.2666,0.41989
2493.5078,0.42063
2493.7488,0.42139
2493.9897,0.42199
2494.231,0.42239
2494.4719,0.42267
2494.7131,0.42301
2494.9541,0.42351
2495.1951,0.42416
2495.4363,0.42482
2495.6772,0.42535
2495.9182,0.42561
2496.1594,0.4256
2496.4004,0.42541
2496.6416,0.42518
2496.8826,0.42506
2497.1235,0.42507
2497.3647,0.42515
2497.6057,0.42515
2497.8467,0.42497
2498.0879,0.42466
2498.3289,0.42435
2498.5701,0.42418
2498.811,0.42415
2499.052,0.42413
2499.2932,0.42393
2499.5342,0.42347
2499.7751,0.42281
2500.0164,0.42213
2500.2573,0.42154
2500.4985,0.42105
2500.7395,0.42058
2500.9805,0.42004
2501.2217,0.41939
2501.4626,0.41868
2501.7036,0.41797
