Freq_ax,HBQ,freq,dmso
718.94397,820.33074,718.94397,783.33048
721.10296,734.70674,721.10296,762.86923
723.26195,705.00481,723.26195,628.84888
725.42094,823.81653,725.42094,529.75364
727.57994,845.77571,727.57994,611.08891
729.73893,771.36101,729.73893,629.70474
731.89792,759.96224,731.89792,603.35603
734.05691,792.40905,734.05691,688.87285
736.2159,728.25006,736.2159,736.93017
738.37489,697.69589,738.37489,664.85443
740.53388,685.85361,740.53388,616.41607
742.69287,778.71699,742.69287,649.74894
744.85186,766.0662,744.85186,604.59512
747.01085,712.11528,747.01085,596.04856
749.16984,971.55037,749.16984,663.8428
751.32884,779.90062,751.32884,688.51066
753.48783,700.39012,753.48783,620.93111
755.64682,971.79011,755.64682,578.00177
757.80581,942.43796,757.80581,595.26449
759.9648,806.00504,759.9648,680.54716
762.12379,714.13853,762.12379,785.48699
764.28278,692.66558,764.28278,785.78327
766.44177,704.13525,766.44177,704.98634
768.60076,766.33787,768.60076,612.33475
770.75975,734.31497,770.75975,591.49084
772.91874,712.22319,772.91874,579.54963
775.07774,721.7203,775.07774,569.99752
777.23673,692.23671,777.23673,595.49763
779.39572,674.80358,779.39572,645.15411
781.55471,774.15829,781.55471,673.16065
783.7137,788.77132,783.7137,696.8386
785.87269,708.06112,785.87269,671.0262
788.03168,654.99444,788.03168,604.00769
790.19067,677.26885,790.19067,573.01216
792.34966,694.18934,792.34966,601.51818
794.50865,694.9462,794.50865,627.51357
796.66764,797.64123,796.66764,615.81724
798.82664,810.57456,798.82664,585.32951
800.98563,817.94004,800.98563,561.16465
803.14462,885.53845,803.14462,562.49081
805.30361,769.51694,805.30361,552.7161
807.4626,700.9773,807.4626,598.72665
809.62159,750.05111,809.62159,602.56465
811.78058,735.61122,811.78058,577.70477
813.93957,691.13681,813.93957,613.53894
816.09856,772.35285,816.09856,696.69618
818.25755,793.23787,818.25755,700.18632
820.41654,798.82064,820.41654,743.24176
822.57554,881.03483,822.57554,822.35868
824.73453,812.68294,824.73453,734.47912
826.89352,688.182,826.89352,585.73347
829.05251,854.25556,829.05251,576.96076
831.2115,1062.20658,831.2115,631.93705
833.37049,1149.24533,833.37049,745.88622
835.52948,906.19615,835.52948,818.39486
837.68847,760.10054,837.68847,716.64173
839.84746,759.40023,839.84746,673.67268
842.00645,750.24215,842.00645,802.73514
844.16544,805.77578,844.16544,809.79887
846.32444,789.47554,846.32444,723.55332
848.48343,733.3282,848.48343,722.41423
850.64242,803.07361,850.64242,742.38235
852.80141,995.8695,852.80141,702.8155
854.9604,977.70242,854.9604,663.03514
857.11939,845.03243,857.11939,606.60116
859.27838,790.17932,859.27838,608.5168
861.43737,905.62029,861.43737,769.68678
863.59636,1212.554,863.59636,873.96545
865.75535,1270.57874,865.75535,765.03194
